trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.0045, 'e': 0.8277865066947336}",20,0,-62.92263160384152,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
43,False,"{'a': 0.0045, 'e': 0.8240698361951109}",25,6,-118.67580070172767,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 2}",1
44,False,"{'a': 0.0045, 'e': 0.8203698531378311}",20,0,-148.81762402735004,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 4}",0
45,False,"{'a': 0.0045, 'e': 0.8166864825981108}",20,0,-79.28724927549882,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
46,False,"{'a': 0.0045, 'e': 0.813019649987571}",20,13,-4.807511307509322,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.0045, 'e': 0.8093692810527259}",20,12,-21.871723882910064,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
48,False,"{'a': 0.0045, 'e': 0.8057353018734796}",25,13,-56.288568979287604,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.0045, 'e': 0.80211763886163}",20,0,-105.19527448112179,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
50,False,"{'a': 0.0045, 'e': 0.7985162187593771}",25,7,-75.42220147331085,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 0}",1
51,False,"{'a': 0.0045, 'e': 0.7949309686378409}",30,19,-49.963505554397166,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
52,False,"{'a': 0.0045, 'e': 0.7913618158955839}",20,4,-1.6087908039201595,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
53,False,"{'a': 0.0045, 'e': 0.7878086882571411}",20,0,-103.36350601428757,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
54,False,"{'a': 0.0045, 'e': 0.7842715137715565}",30,0,-165.05143379302828,"{0: 18, 1: 1, 2: 6, 3: 4, 4: 1}",0
55,False,"{'a': 0.0045, 'e': 0.7807502208109257}",20,6,-30.162781790495423,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
56,False,"{'a': 0.0045, 'e': 0.7772447380689461}",20,11,-32.4317413092405,"{0: 4, 1: 2, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.0045, 'e': 0.7737549945594724}",25,8,-53.91837206648226,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
58,False,"{'a': 0.0045, 'e': 0.7702809196150792}",25,4,-74.32752721694966,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 2}",1
59,False,"{'a': 0.0045, 'e': 0.7668224428856301}",25,12,-44.56465263554734,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
60,False,"{'a': 0.0045, 'e': 0.7633794943368533}",25,15,-6.766064536082304,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.0045, 'e': 0.7599520042489228}",25,0,-90.36477712851186,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
62,False,"{'a': 0.0045, 'e': 0.7565399032150474}",20,13,4.373195915707562,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.0045, 'e': 0.7531431221400645}",25,0,-67.11992728874485,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 0}",0
64,False,"{'a': 0.0045, 'e': 0.7497615922390413}",20,1,-3.040555417391748,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.0045, 'e': 0.7463952450358817}",20,0,-115.04898059406605,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.0045, 'e': 0.7430440123619398}",20,14,-13.68556885412147,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
67,False,"{'a': 0.0045, 'e': 0.7397078263546395}",20,0,-31.977219366876447,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
68,False,"{'a': 0.0045, 'e': 0.7363866194561001}",20,0,-116.25378299878628,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
69,False,"{'a': 0.0045, 'e': 0.7330803244117684}",20,0,-151.1696836649198,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
70,False,"{'a': 0.0045, 'e': 0.7297888742690568}",20,12,-69.00348228055631,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
71,False,"{'a': 0.0045, 'e': 0.7265122023759875}",25,0,-136.44698935991025,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
72,False,"{'a': 0.0045, 'e': 0.7232502423798425}",25,15,-9.581412446662068,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.0045, 'e': 0.7200029282258205}",25,0,4.76948279470134,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
74,False,"{'a': 0.0045, 'e': 0.716770194155699}",20,0,-50.52508665627906,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
75,False,"{'a': 0.0045, 'e': 0.7135519747065026}",30,0,-148.13460944295008,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
76,False,"{'a': 0.0045, 'e': 0.7103482047091773}",25,0,-6.491437083113607,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
77,False,"{'a': 0.0045, 'e': 0.7071588192872713}",25,4,-61.47537443891843,"{0: 14, 1: 1, 2: 4, 3: 2, 4: 0}",1
78,False,"{'a': 0.0045, 'e': 0.703983753855621}",20,8,-66.23244958719854,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
79,False,"{'a': 0.0045, 'e': 0.7008229441190426}",25,0,-137.1201320331762,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
80,False,"{'a': 0.0045, 'e': 0.697676326071031}",20,0,-88.0428777893352,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.0045, 'e': 0.6945438359924634}",30,0,-38.8690358296721,"{0: 22, 1: 5, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.0045, 'e': 0.6914254104503085}",20,0,-147.67170901629095,"{0: 9, 1: 0, 2: 8, 3: 2, 4: 1}",0
83,False,"{'a': 0.0045, 'e': 0.6883209862963425}",30,6,-95.85849658290087,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 1}",1
84,False,"{'a': 0.0045, 'e': 0.6852305006658703}",20,0,-102.02193023639245,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",1
85,False,"{'a': 0.0045, 'e': 0.6821538909764522}",25,0,14.935518412770477,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
86,False,"{'a': 0.0045, 'e': 0.6790910949266369}",20,13,11.871552695626452,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
